ID,Position,Worth,First Name,Last Name,Age,Gender_cat,Source,Country,Image,Nationality,name,country
5227,1,112.0 BUSD,Jeff,Bezos,54,Not Available,Technology  ==> Amazon,United States,https://specials-images.forbesimg.com/imageserve/5a8d920d31358e4955adf197/416x416.jpg?background=000000&cropX1=755&cropX2=2357&cropY1=494&cropY2=2097, United States,Jeff Bezos,United States
2642,2,90.0 BUSD,Bill,Gates,62,Male,Technology  ==> Microsoft, United States,https://specials-images.forbesimg.com/imageserve/5a942b7b31358e79a28a452b/416x416.jpg?background=000000&cropX1=285&cropX2=3498&cropY1=146&cropY2=3360, United States,Bill Gates,United States
5422,3,84.0 BUSD,Warren,Buffett,87,Male,Finance and Investments  ==> Berkshire Hathaway, United States,https://specials-images.forbesimg.com/imageserve/5a8d9b3a31358e4955adf300/416x416.jpg?background=000000&cropX1=378&cropX2=2650&cropY1=52&cropY2=2322, United States,Warren Buffett,United States
8183,4,72.0 BUSD,Bernard,Arnault,69,Male,Fashion & Retail  ==> LVMH,France,https://specials-images.forbesimg.com/imageserve/5a7de808a7ea431690131adf/416x416.jpg?background=000000&cropX1=125&cropX2=2852&cropY1=11&cropY2=2736, France,Bernard Arnault,France
5642,5,71.0 BUSD,Mark,Zuckerberg,33,Male,Technology  ==> Facebook,USA,https://specials-images.forbesimg.com/imageserve/59d5062131358e542c034eb7/416x416.jpg?background=000000&cropX1=419&cropX2=1409&cropY1=53&cropY2=1044, Mexico,Mark Zuckerberg,United States
1690,6,70.0 BUSD,Amancio,Ortega,82,Male,Fashion & Retail  ==> Zara, Spain,https://specials-images.forbesimg.com/imageserve/5a810ce6a7ea431690133fe6/416x416.jpg?background=000000&cropX1=250&cropX2=2266&cropY1=4&cropY2=2019, Spain,Amancio Ortega,Spain
2877,7,67.1 BUSD,Carlos,Slim helu,78,Not Available,Telecom  ==> telecom,Mexico,https://specials-images.forbesimg.com/imageserve/5a7fcad931358e4955ad21fc/416x416.jpg?background=000000&cropX1=247&cropX2=2010&cropY1=226&cropY2=1990, United States,Carlos Slim Helu,Mexico
1939,8,60.0 BUSD,Charles,Koch,82,Male,Diversified  ==> Koch Industries,United States,https://specials-images.forbesimg.com/imageserve/5638b4b5e4b0ffa7afe69a7f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=53&cropY2=797, United States,Charles Koch,United States
9011,9,60.0 BUSD,David,Koch,78,Male,Diversified  ==> Koch Industries,USA,https://specials-images.forbesimg.com/imageserve/5a8d901531358e4955adf139/416x416.jpg?background=000000&cropX1=0&cropX2=2400&cropY1=81&cropY2=2481, United States,David Koch,United States
7523,10,58.5 BUSD,Larry,Ellison,73,Male,Technology  ==> software, United States,https://specials-images.forbesimg.com/imageserve/5a8d9263a7ea431690140251/416x416.jpg?background=000000&cropX1=0&cropX2=2000&cropY1=197&cropY2=2198, United States,Larry Ellison,United States
8133,11,50.0 BUSD,Michael,Bloomberg,76,Male,Media & Entertainment  ==> Bloomberg LP,United States,https://specials-images.forbesimg.com/imageserve/58c1d278a7ea431f321add1f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=40&cropY2=784,,Michael Bloomberg,United States
8447,12,48.8 BUSD,Larry,Page,45,Not Available,Technology  ==> Google,United States,https://specials-images.forbesimg.com/imageserve/59d5098d4bbe6f37dd9ff6bc/416x416.jpg?background=000000&cropX1=1176&cropX2=2904&cropY1=222&cropY2=1950,,Larry Page,United States
5897,13,47.5 BUSD,Sergey,Brin,44,Male,Technology  ==> Google,United States,https://specials-images.forbesimg.com/imageserve/5a8d93da31358e4955adf1c9/416x416.jpg?background=000000&cropX1=1399&cropX2=3806&cropY1=290&cropY2=2695,,Sergey Brin,United States
4296,14,46.4 BUSD,Jim,Walton,70,Male,Fashion & Retail  ==> Walmart,United States,https://specials-images.forbesimg.com/imageserve/56d1b7cce4b0c144a7f6639f/416x416.jpg?background=000000&cropX1=110&cropX2=516&cropY1=35&cropY2=441,,Jim Walton,United States
2162,15,46.2 BUSD,S.,Walton,73,Male,Fashion & Retail  ==> Walmart,United States,https://specials-images.forbesimg.com/imageserve/59d50a9e4bbe6f37dd9ff712/416x416.jpg?background=000000&cropX1=207&cropX2=1915&cropY1=82&cropY2=1791,,S. Robson Walton,United States
6785,16,46.0 BUSD,Alice,Walton,68,Not Available,Fashion & Retail  ==> Walmart,United States,https://specials-images.forbesimg.com/imageserve/59d50b364bbe6f37dd9ff759/416x416.jpg?background=000000&cropX1=97&cropX2=1126&cropY1=114&cropY2=1143,,Alice Walton,United States
2208,17,45.3 BUSD,Ma,Ma,46,Male,Technology  ==> internet media,People's Republic of China,https://specials-images.forbesimg.com/imageserve/5a7cdf46a7ea431690130bf0/416x416.jpg?background=000000&cropX1=1094&cropX2=3921&cropY1=6&cropY2=2832,,Ma Huateng,China
5236,18,42.2 BUSD,Francoise,Bettencourt meyers,64,Female,Fashion & Retail  ==> L'Oreal,France,https://specials-images.forbesimg.com/imageserve/5a7def7631358e4955ad0a53/416x416.jpg?background=000000&cropX1=192&cropX2=973&cropY1=69&cropY2=849,,Francoise Bettencourt Meyers,France
6852,19,40.1 BUSD,Mukesh,Ambani,61,Male,"Energy  ==> petrochemicals, oil & gas",India,https://specials-images.forbesimg.com/imageserve/5a7f3b7931358e4955ad1a39/416x416.jpg?background=000000&cropX1=5&cropX2=1013&cropY1=214&cropY2=1223,,Mukesh Ambani,India
1622,20,39.0 BUSD,Jack,Ma,53,Male,Technology  ==> e-commerce,China,https://specials-images.forbesimg.com/imageserve/5aa1598031358e79a28b5731/416x416.jpg?background=000000&cropX1=1454&cropX2=3297&cropY1=547&cropY2=2389,,Jack Ma,China
4512,21,38.5 BUSD,Sheldon,Adelson,84,Male,Gambling & Casinos  ==> casinos,United States,https://specials-images.forbesimg.com/imageserve/5a8d9420a7ea43169014027b/416x416.jpg?background=000000&cropX1=935&cropX2=3219&cropY1=79&cropY2=2362,,Sheldon Adelson,United States
1498,22,38.4 BUSD,Steve,Ballmer,62,Male,Technology  ==> Microsoft,United States,https://specials-images.forbesimg.com/imageserve/59d50c47a7ea436b47b36d66/416x416.jpg?background=000000&cropX1=656&cropX2=2920&cropY1=354&cropY2=2617,,Steve Ballmer,United States
6217,23,34.9 BUSD,Li,Li,90,Not Available,Diversified  ==> diversified,Hong Kong,https://specials-images.forbesimg.com/imageserve/5a7e6e914bbe6f2652f52a98/416x416.jpg?background=000000&cropX1=623&cropX2=3280&cropY1=6&cropY2=2661,,Li Ka-shing,Hong Kong
7194,24,30.3 BUSD,Hui,Hui,59,Male,Real Estate  ==> real estate,China,https://specials-images.forbesimg.com/imageserve/5aecc8f4a7ea436b547c4c52/416x416.jpg?background=000000&cropX1=372&cropX2=2640&cropY1=490&cropY2=2756,,Hui Ka Yan,China
6945,25,30.3 BUSD,Lee,Lee,90,Male,Real Estate  ==> real estate,Hong Kong,https://specials-images.forbesimg.com/imageserve/5a579beba7ea431690109b54/416x416.jpg?background=000000&cropX1=24&cropX2=1040&cropY1=66&cropY2=1082,,Lee Shau Kee,Hong Kong
4782,26,30.0 BUSD,Wang,Wang,63,Male,Real Estate  ==> real estate,China,https://specials-images.forbesimg.com/imageserve/5a7cf67f4bbe6f2652f510d4/416x416.jpg?background=000000&cropX1=810&cropX2=4091&cropY1=0&cropY2=3280,,Wang Jianlin,China
1202,27,29.8 BUSD,Beate,Albrecht jr.,66,Female,Fashion & Retail  ==> supermarkets,Germany,https://specials-images.forbesimg.com/imageserve/5a7e087531358e4955ad0cfe/416x416.jpg?background=000000&cropX1=19&cropX2=2172&cropY1=186&cropY2=2340,,Beate Heister & Karl Albrecht Jr.,Germany
4178,28,29.6 BUSD,Phil,Knight,80,Male,Fashion & Retail  ==> Nike,United States,https://specials-images.forbesimg.com/imageserve/5a8d930431358e4955adf1bb/416x416.jpg?background=000000&cropX1=1463&cropX2=2400&cropY1=35&cropY2=972,,Phil Knight,United States
8817,29,27.4 BUSD,Jorge,Lemann,78,Male,Food and Beverage  ==> beer,Brazil,https://specials-images.forbesimg.com/imageserve/5a7b803c4bbe6f2652f4ef67/416x416.jpg?background=000000&cropX1=794&cropX2=3457&cropY1=6&cropY2=2667,,Jorge Paulo Lemann,Brazil
6286,30,27.0 BUSD,Francois,Pinault,81,Male,Fashion & Retail  ==> luxury goods,France,https://specials-images.forbesimg.com/imageserve/5a7def27a7ea431690131b94/416x416.jpg?background=000000&cropX1=12&cropX2=2668&cropY1=208&cropY2=2866,,Francois Pinault,France
7453,31,25.3 BUSD,Georg,Schaeffler,53,Male,Automotive  ==> auto parts,Germany,https://specials-images.forbesimg.com/imageserve/5a7e12b631358e4955ad0fb2/416x416.jpg?background=000000&cropX1=835&cropX2=3880&cropY1=0&cropY2=3042,,Georg Schaeffler,Germany
1720,32,25.0 BUSD,Susanne,Klatten,56,Not Available,"Automotive  ==> BMW, pharmaceuticals",Germany,https://specials-images.forbesimg.com/imageserve/5a7e45f64bbe6f2652f5295a/416x416.jpg?background=000000&cropX1=10&cropX2=1120&cropY1=126&cropY2=1236,,Susanne Klatten,Germany
5066,33,25.0 BUSD,David,Thomson,61,Not Available,Media & Entertainment  ==> media,Canada,https://specials-images.forbesimg.com/imageserve/5a7ba72aa7ea43169012f1b4/416x416.jpg?background=000000&cropX1=566&cropX2=3532&cropY1=6&cropY2=2972,,David Thomson,Canada
6374,34,23.6 BUSD,Jacqueline,Mars,78,Female,"Food and Beverage  ==> candy, pet food",United States,https://specials-images.forbesimg.com/imageserve/59d50d06a7ea436b47b36d84/416x416.jpg?background=000000&cropX1=154&cropX2=1649&cropY1=394&cropY2=1889,,Jacqueline Mars,United States
2424,35,23.6 BUSD,John,Mars,82,Male,"Food and Beverage  ==> candy, pet food",United States,https://specials-images.forbesimg.com/imageserve/59d50d06a7ea436b47b36d84/416x416.jpg?background=000000&cropX1=154&cropX2=1649&cropY1=394&cropY2=1889,,John Mars,United States
9363,36,23.5 BUSD,Joseph,Safra,79,Male,Finance and Investments  ==> banking,Brazil,https:http://specials-images.forbesimg.com/imageserve/5722763231358e1869e2bbc0/416x416.jpg?background=000000&cropX1=161&cropX2=647&cropY1=16&cropY2=502,,Joseph Safra,Brazil
2313,37,23.0 BUSD,Giovanni,Ferrero,53,Not Available,"Food and Beverage  ==> Nutella, chocolates",Italy,https:http://specials-images.forbesimg.com/imageserve/5722763231358e1869e2bbc0/416x416.jpg?background=000000&cropX1=161&cropX2=647&cropY1=16&cropY2=502,,Giovanni Ferrero,Italy
5633,38,23.0 BUSD,Dietrich,Mateschitz,74,Male,Food and Beverage  ==> Red Bull,Austria,https://specials-images.forbesimg.com/imageserve/5a7b6c3831358e4955acdba2/416x416.jpg?background=000000&cropX1=790&cropX2=3611&cropY1=12&cropY2=2832,,Dietrich Mateschitz,Austria
9371,39,22.7 BUSD,Michael,Dell,53,Male,Technology  ==> Dell computers,United States,https://specials-images.forbesimg.com/imageserve/58c1d2e731358e1a35acba6b/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=163&cropY2=907,,Michael Dell,United States
9720,40,22.7 BUSD,Masayoshi,Son,60,Male,"Telecom  ==> internet, telecom",Japan,https://specials-images.forbesimg.com/imageserve/5ac24da531358e4112b689b7/416x416.jpg?background=000000&cropX1=864&cropX2=4200&cropY1=0&cropY2=3334,,Masayoshi Son,Japan
3860,41,22.6 BUSD,Serge,Dassault,93,Not Available,Diversified  ==> diversified,France,https://specials-images.forbesimg.com/imageserve/5a7dfc4a31358e4955ad0b78/416x416.jpg?background=000000&cropX1=598&cropX2=3315&cropY1=99&cropY2=2816,,Serge Dassault,France
8717,42,22.0 BUSD,Stefan,Quandt,52,Not Available,Automotive  ==> BMW,Germany,https://specials-images.forbesimg.com/imageserve/56c7cdc0e4b062f6b59a2400/416x416.jpg?background=000000&cropX1=5&cropX2=744&cropY1=3&cropY2=743,,Stefan Quandt,Germany
4061,43,21.9 BUSD,Yang,Yang,35,Female,Real Estate  ==> real estate,China,https://specials-images.forbesimg.com/imageserve/5a0b1b83a7ea436b47b558ba/416x416.jpg?background=000000&cropX1=1&cropX2=600&cropY1=3&cropY2=602,,Yang Huiyan,China
4607,44,21.7 BUSD,Paul,Allen,65,Male,"Technology  ==> Microsoft, investments",United States,https:http://specials-images.forbesimg.com/imageserve/57f4fbeb4bbe6f75c4fda22d/416x416.jpg?background=000000&cropX1=82&cropX2=675&cropY1=8&cropY2=601,,Paul Allen,United States
4134,45,21.2 BUSD,Leonardo,Del vecchio,83,Male,Fashion & Retail  ==> eyeglasses,Italy,https://specials-images.forbesimg.com/imageserve/5a7f931f31358e4955ad1e20/416x416.jpg?background=000000&cropX1=4&cropX2=1440&cropY1=4&cropY2=1440,,Leonardo Del Vecchio,Italy
5446,46,20.9 BUSD,Dieter,Schwarz,78,Male,Fashion & Retail  ==> retail,Germany,https://specials-images.forbesimg.com/imageserve/5a7f931f31358e4955ad1e20/416x416.jpg?background=000000&cropX1=4&cropX2=1440&cropY1=4&cropY2=1440,,Dieter Schwarz,Germany
6816,47,20.3 BUSD,Thomas,Peterffy,73,Male,Finance and Investments  ==> discount brokerage,United States,https://specials-images.forbesimg.com/imageserve/59d55c694bbe6f37dda00008/416x416.jpg?background=000000&cropX1=904&cropX2=2836&cropY1=905&cropY2=2839,,Thomas Peterffy,United States
8745,48,20.2 BUSD,Theo,Albrecht,67,Not Available,"Fashion & Retail  ==> Aldi, Trader Joe's",Germany,https://specials-images.forbesimg.com/imageserve/59d55c694bbe6f37dda00008/416x416.jpg?background=000000&cropX1=904&cropX2=2836&cropY1=905&cropY2=2839,,"Theo Albrecht, Jr.",Germany
9320,49,20.2 BUSD,Len,Blavatnik,61,Not Available,Diversified  ==> diversified,United States,https://specials-images.forbesimg.com/imageserve/59d50f2831358e542c034f95/416x416.jpg?background=000000&cropX1=963&cropX2=2028&cropY1=234&cropY2=1299,,Len Blavatnik,United States
1099,50,20.1 BUSD,He,He,75,Male,Manufacturing  ==> home appliances,China,https://specials-images.forbesimg.com/imageserve/5a7cb54ca7ea431690130761/416x416.jpg?background=000000&cropX1=210&cropX2=1953&cropY1=660&cropY2=2404,,He Xiangjian,China
9051,51,20.1 BUSD,Lui,Lui,89,Male,Gambling & Casinos  ==> casinos,Hong Kong,https://specials-images.forbesimg.com/imageserve/5a7e7153a7ea431690132553/416x416.jpg?background=000000&cropX1=1591&cropX2=4746&cropY1=14&cropY2=3168,,Lui Che Woo,Hong Kong
5751,52,20.0 BUSD,James,Simons,80,Male,Finance and Investments  ==> hedge funds,United States,https://specials-images.forbesimg.com/imageserve/5a8d914e4bbe6f2652f61c2f/416x416.jpg?background=000000&cropX1=2670&cropX2=3520&cropY1=341&cropY2=1190,,James Simons,United States
1146,53,20.0 BUSD,Henry,Sy,93,Male,Diversified  ==> diversified,Philippines,https://specials-images.forbesimg.com/imageserve/5a8ed22d31358e4955ae072b/416x416.jpg?background=000000&cropX1=568&cropX2=3083&cropY1=131&cropY2=2647,,Henry Sy,Philippines
