Position,First Name,Last Name,Age,Worth,Gender_cat,Source,Country,Image
1,Jeff,Bezos,54,112.0 BUSD,Not Available,Technology  ==> Amazon,United States,https://specials-images.forbesimg.com/imageserve/5a8d920d31358e4955adf197/416x416.jpg?background=000000&cropX1=755&cropX2=2357&cropY1=494&cropY2=2097
2,Bill,Gates,62,90.0 BUSD,Male,Technology  ==> Microsoft,United States,https://specials-images.forbesimg.com/imageserve/5a942b7b31358e79a28a452b/416x416.jpg?background=000000&cropX1=285&cropX2=3498&cropY1=146&cropY2=3360
3,Warren,Buffett,87,84.0 BUSD,Male,Finance and Investments  ==> Berkshire Hathaway,United States,https://specials-images.forbesimg.com/imageserve/5a8d9b3a31358e4955adf300/416x416.jpg?background=000000&cropX1=378&cropX2=2650&cropY1=52&cropY2=2322
4,Bernard,Arnault,69,72.0 BUSD,Male,Fashion & Retail  ==> LVMH,France,https://specials-images.forbesimg.com/imageserve/5a7de808a7ea431690131adf/416x416.jpg?background=000000&cropX1=125&cropX2=2852&cropY1=11&cropY2=2736
5,Mark,Zuckerberg,33,71.0 BUSD,Male,Technology  ==> Facebook,USA,https://specials-images.forbesimg.com/imageserve/59d5062131358e542c034eb7/416x416.jpg?background=000000&cropX1=419&cropX2=1409&cropY1=53&cropY2=1044
6,Amancio,Ortega,82,70.0 BUSD,Male,Fashion & Retail  ==> Zara,Spain,https://specials-images.forbesimg.com/imageserve/5a810ce6a7ea431690133fe6/416x416.jpg?background=000000&cropX1=250&cropX2=2266&cropY1=4&cropY2=2019
7,Carlos,Slim helu,78,67.1 BUSD,Not Available,Telecom  ==> telecom,Mexico,https://specials-images.forbesimg.com/imageserve/5a7fcad931358e4955ad21fc/416x416.jpg?background=000000&cropX1=247&cropX2=2010&cropY1=226&cropY2=1990
8,Charles,Koch,82,60.0 BUSD,Male,Diversified  ==> Koch Industries,United States,https://specials-images.forbesimg.com/imageserve/5638b4b5e4b0ffa7afe69a7f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=53&cropY2=797
9,David,Koch,78,60.0 BUSD,Male,Diversified  ==> Koch Industries,USA,https://specials-images.forbesimg.com/imageserve/5a8d901531358e4955adf139/416x416.jpg?background=000000&cropX1=0&cropX2=2400&cropY1=81&cropY2=2481
10,Larry,Ellison,73,58.5 BUSD,Male,Technology  ==> software,United States,https://specials-images.forbesimg.com/imageserve/5a8d9263a7ea431690140251/416x416.jpg?background=000000&cropX1=0&cropX2=2000&cropY1=197&cropY2=2198
11,Michael,Bloomberg,76,50.0 BUSD,Male,Media & Entertainment  ==> Bloomberg LP,United States,https://specials-images.forbesimg.com/imageserve/58c1d278a7ea431f321add1f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=40&cropY2=784
12,Larry,Page,45,48.8 BUSD,Not Available,Technology  ==> Google,United States,https://specials-images.forbesimg.com/imageserve/59d5098d4bbe6f37dd9ff6bc/416x416.jpg?background=000000&cropX1=1176&cropX2=2904&cropY1=222&cropY2=1950
13,Sergey,Brin,44,47.5 BUSD,Male,Technology  ==> Google,United States,https://specials-images.forbesimg.com/imageserve/5a8d93da31358e4955adf1c9/416x416.jpg?background=000000&cropX1=1399&cropX2=3806&cropY1=290&cropY2=2695
14,Jim,Walton,70,46.4 BUSD,Male,Fashion & Retail  ==> Walmart,United States,https://specials-images.forbesimg.com/imageserve/56d1b7cce4b0c144a7f6639f/416x416.jpg?background=000000&cropX1=110&cropX2=516&cropY1=35&cropY2=441
15,S.,Walton,73,46.2 BUSD,Male,Fashion & Retail  ==> Walmart,United States,https://specials-images.forbesimg.com/imageserve/59d50a9e4bbe6f37dd9ff712/416x416.jpg?background=000000&cropX1=207&cropX2=1915&cropY1=82&cropY2=1791
16,Alice,Walton,68,46.0 BUSD,Not Available,Fashion & Retail  ==> Walmart,United States,https://specials-images.forbesimg.com/imageserve/59d50b364bbe6f37dd9ff759/416x416.jpg?background=000000&cropX1=97&cropX2=1126&cropY1=114&cropY2=1143
17,Ma,Ma,46,45.3 BUSD,Male,Technology  ==> internet media,China,https://specials-images.forbesimg.com/imageserve/5a7cdf46a7ea431690130bf0/416x416.jpg?background=000000&cropX1=1094&cropX2=3921&cropY1=6&cropY2=2832
18,Francoise,Bettencourt meyers,64,42.2 BUSD,Female,Fashion & Retail  ==> L'Oreal,France,https://specials-images.forbesimg.com/imageserve/5a7def7631358e4955ad0a53/416x416.jpg?background=000000&cropX1=192&cropX2=973&cropY1=69&cropY2=849
19,Mukesh,Ambani,61,40.1 BUSD,Male,"Energy  ==> petrochemicals, oil & gas",India,https://specials-images.forbesimg.com/imageserve/5a7f3b7931358e4955ad1a39/416x416.jpg?background=000000&cropX1=5&cropX2=1013&cropY1=214&cropY2=1223
20,Jack,Ma,53,39.0 BUSD,Male,Technology  ==> e-commerce,China,https://specials-images.forbesimg.com/imageserve/5aa1598031358e79a28b5731/416x416.jpg?background=000000&cropX1=1454&cropX2=3297&cropY1=547&cropY2=2389
21,Sheldon,Adelson,84,38.5 BUSD,Male,Gambling & Casinos  ==> casinos,United States,https://specials-images.forbesimg.com/imageserve/5a8d9420a7ea43169014027b/416x416.jpg?background=000000&cropX1=935&cropX2=3219&cropY1=79&cropY2=2362
22,Steve,Ballmer,62,38.4 BUSD,Male,Technology  ==> Microsoft,United States,https://specials-images.forbesimg.com/imageserve/59d50c47a7ea436b47b36d66/416x416.jpg?background=000000&cropX1=656&cropX2=2920&cropY1=354&cropY2=2617
23,Li,Li,90,34.9 BUSD,Not Available,Diversified  ==> diversified,Hong Kong,https://specials-images.forbesimg.com/imageserve/5a7e6e914bbe6f2652f52a98/416x416.jpg?background=000000&cropX1=623&cropX2=3280&cropY1=6&cropY2=2661
24,Hui,Hui,59,30.3 BUSD,Male,Real Estate  ==> real estate,China,https://specials-images.forbesimg.com/imageserve/5aecc8f4a7ea436b547c4c52/416x416.jpg?background=000000&cropX1=372&cropX2=2640&cropY1=490&cropY2=2756
25,Lee,Lee,90,30.3 BUSD,Male,Real Estate  ==> real estate,Hong Kong,https://specials-images.forbesimg.com/imageserve/5a579beba7ea431690109b54/416x416.jpg?background=000000&cropX1=24&cropX2=1040&cropY1=66&cropY2=1082
26,Wang,Wang,63,30.0 BUSD,Male,Real Estate  ==> real estate,China,https://specials-images.forbesimg.com/imageserve/5a7cf67f4bbe6f2652f510d4/416x416.jpg?background=000000&cropX1=810&cropX2=4091&cropY1=0&cropY2=3280
27,Beate,Albrecht jr.,66,29.8 BUSD,Female,Fashion & Retail  ==> supermarkets,Germany,https://specials-images.forbesimg.com/imageserve/5a7e087531358e4955ad0cfe/416x416.jpg?background=000000&cropX1=19&cropX2=2172&cropY1=186&cropY2=2340
28,Phil,Knight,80,29.6 BUSD,Male,Fashion & Retail  ==> Nike,United States,https://specials-images.forbesimg.com/imageserve/5a8d930431358e4955adf1bb/416x416.jpg?background=000000&cropX1=1463&cropX2=2400&cropY1=35&cropY2=972
29,Jorge,Lemann,78,27.4 BUSD,Male,Food and Beverage  ==> beer,Brazil,https://specials-images.forbesimg.com/imageserve/5a7b803c4bbe6f2652f4ef67/416x416.jpg?background=000000&cropX1=794&cropX2=3457&cropY1=6&cropY2=2667
30,Francois,Pinault,81,27.0 BUSD,Male,Fashion & Retail  ==> luxury goods,France,https://specials-images.forbesimg.com/imageserve/5a7def27a7ea431690131b94/416x416.jpg?background=000000&cropX1=12&cropX2=2668&cropY1=208&cropY2=2866
31,Georg,Schaeffler,53,25.3 BUSD,Male,Automotive  ==> auto parts,Germany,https://specials-images.forbesimg.com/imageserve/5a7e12b631358e4955ad0fb2/416x416.jpg?background=000000&cropX1=835&cropX2=3880&cropY1=0&cropY2=3042
32,Susanne,Klatten,56,25.0 BUSD,Not Available,"Automotive  ==> BMW, pharmaceuticals",Germany,https://specials-images.forbesimg.com/imageserve/5a7e45f64bbe6f2652f5295a/416x416.jpg?background=000000&cropX1=10&cropX2=1120&cropY1=126&cropY2=1236
33,David,Thomson,61,25.0 BUSD,Not Available,Media & Entertainment  ==> media,Canada,https://specials-images.forbesimg.com/imageserve/5a7ba72aa7ea43169012f1b4/416x416.jpg?background=000000&cropX1=566&cropX2=3532&cropY1=6&cropY2=2972
34,Jacqueline,Mars,78,23.6 BUSD,Female,"Food and Beverage  ==> candy, pet food",United States,https://specials-images.forbesimg.com/imageserve/59d50d06a7ea436b47b36d84/416x416.jpg?background=000000&cropX1=154&cropX2=1649&cropY1=394&cropY2=1889
35,John,Mars,82,23.6 BUSD,Male,"Food and Beverage  ==> candy, pet food",United States,https://specials-images.forbesimg.com/imageserve/59d50d06a7ea436b47b36d84/416x416.jpg?background=000000&cropX1=154&cropX2=1649&cropY1=394&cropY2=1889
36,Joseph,Safra,79,23.5 BUSD,Male,Finance and Investments  ==> banking,Brazil,https:http://specials-images.forbesimg.com/imageserve/5722763231358e1869e2bbc0/416x416.jpg?background=000000&cropX1=161&cropX2=647&cropY1=16&cropY2=502
37,Giovanni,Ferrero,53,23.0 BUSD,Not Available,"Food and Beverage  ==> Nutella, chocolates",Italy,https:http://specials-images.forbesimg.com/imageserve/5722763231358e1869e2bbc0/416x416.jpg?background=000000&cropX1=161&cropX2=647&cropY1=16&cropY2=502
38,Dietrich,Mateschitz,74,23.0 BUSD,Male,Food and Beverage  ==> Red Bull,Austria,https://specials-images.forbesimg.com/imageserve/5a7b6c3831358e4955acdba2/416x416.jpg?background=000000&cropX1=790&cropX2=3611&cropY1=12&cropY2=2832
39,Michael,Dell,53,22.7 BUSD,Male,Technology  ==> Dell computers,United States,https://specials-images.forbesimg.com/imageserve/58c1d2e731358e1a35acba6b/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=163&cropY2=907
40,Masayoshi,Son,60,22.7 BUSD,Male,"Telecom  ==> internet, telecom",Japan,https://specials-images.forbesimg.com/imageserve/5ac24da531358e4112b689b7/416x416.jpg?background=000000&cropX1=864&cropX2=4200&cropY1=0&cropY2=3334
41,Serge,Dassault,93,22.6 BUSD,Not Available,Diversified  ==> diversified,France,https://specials-images.forbesimg.com/imageserve/5a7dfc4a31358e4955ad0b78/416x416.jpg?background=000000&cropX1=598&cropX2=3315&cropY1=99&cropY2=2816
42,Stefan,Quandt,52,22.0 BUSD,Not Available,Automotive  ==> BMW,Germany,https://specials-images.forbesimg.com/imageserve/56c7cdc0e4b062f6b59a2400/416x416.jpg?background=000000&cropX1=5&cropX2=744&cropY1=3&cropY2=743
43,Yang,Yang,35,21.9 BUSD,Female,Real Estate  ==> real estate,China,https://specials-images.forbesimg.com/imageserve/5a0b1b83a7ea436b47b558ba/416x416.jpg?background=000000&cropX1=1&cropX2=600&cropY1=3&cropY2=602
44,Paul,Allen,65,21.7 BUSD,Male,"Technology  ==> Microsoft, investments",United States,https:http://specials-images.forbesimg.com/imageserve/57f4fbeb4bbe6f75c4fda22d/416x416.jpg?background=000000&cropX1=82&cropX2=675&cropY1=8&cropY2=601
