ID,First Name,Last Name,Position,Worth,Source,Age,Unnamed: 0,Gender,Country,Image
5227,Jeff,Bezos,1.0,112.0 BUSD,Technology  ==> Amazon,54 years old,52,None,United States,https://specials-images.forbesimg.com/imageserve/5a8d920d31358e4955adf197/416x416.jpg?background=000000&cropX1=755&cropX2=2357&cropY1=494&cropY2=2097
2642,Bill,Gates,2.0,90.0 BUSD,Technology  ==> Microsoft,62 years old,53,M,None,https://specials-images.forbesimg.com/imageserve/5a942b7b31358e79a28a452b/416x416.jpg?background=000000&cropX1=285&cropX2=3498&cropY1=146&cropY2=3360
5422,Warren,Buffett,3.0,84.0 BUSD,Finance and Investments  ==> Berkshire Hathaway,87 years old,54,M,None,https://specials-images.forbesimg.com/imageserve/5a8d9b3a31358e4955adf300/416x416.jpg?background=000000&cropX1=378&cropX2=2650&cropY1=52&cropY2=2322
8183,Bernard,Arnault,4.0,72.0 BUSD,Fashion & Retail  ==> LVMH,69 years old,55,M,France,https://specials-images.forbesimg.com/imageserve/5a7de808a7ea431690131adf/416x416.jpg?background=000000&cropX1=125&cropX2=2852&cropY1=11&cropY2=2736
5642,Mark,Zuckerberg,5.0,71.0 BUSD,Technology  ==> Facebook,1985,56,M,USA,https://specials-images.forbesimg.com/imageserve/59d5062131358e542c034eb7/416x416.jpg?background=000000&cropX1=419&cropX2=1409&cropY1=53&cropY2=1044
1690,Amancio,Ortega,6.0,70.0 BUSD,Fashion & Retail  ==> Zara,82 years old,57,M,None,https://specials-images.forbesimg.com/imageserve/5a810ce6a7ea431690133fe6/416x416.jpg?background=000000&cropX1=250&cropX2=2266&cropY1=4&cropY2=2019
2877,Carlos,Slim helu,7.0,67.1 BUSD,Telecom  ==> telecom,78 years old,58,None,Mexico,https://specials-images.forbesimg.com/imageserve/5a7fcad931358e4955ad21fc/416x416.jpg?background=000000&cropX1=247&cropX2=2010&cropY1=226&cropY2=1990
1939,Charles,Koch,8.0,60.0 BUSD,Diversified  ==> Koch Industries,82 years old,59,M,United States,https://specials-images.forbesimg.com/imageserve/5638b4b5e4b0ffa7afe69a7f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=53&cropY2=797
9011,David,Koch,9.0,60.0 BUSD,Diversified  ==> Koch Industries,78 years old,60,Male,USA,https://specials-images.forbesimg.com/imageserve/5a8d901531358e4955adf139/416x416.jpg?background=000000&cropX1=0&cropX2=2400&cropY1=81&cropY2=2481
7523,Larry,Ellison,10.0,58.5 BUSD,Technology  ==> software,73 years old,61,M,None,https://specials-images.forbesimg.com/imageserve/5a8d9263a7ea431690140251/416x416.jpg?background=000000&cropX1=0&cropX2=2000&cropY1=197&cropY2=2198
8133,Michael,Bloomberg,11.0,50.0 BUSD,Media & Entertainment  ==> Bloomberg LP,76 years old,62,Male,None,https://specials-images.forbesimg.com/imageserve/58c1d278a7ea431f321add1f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=40&cropY2=784
8447,Larry,Page,12.0,48.8 BUSD,Technology  ==> Google,45 years old,63,None,None,https://specials-images.forbesimg.com/imageserve/59d5098d4bbe6f37dd9ff6bc/416x416.jpg?background=000000&cropX1=1176&cropX2=2904&cropY1=222&cropY2=1950
5897,Sergey,Brin,13.0,47.5 BUSD,Technology  ==> Google,44 years old,64,M,United States,https://specials-images.forbesimg.com/imageserve/5a8d93da31358e4955adf1c9/416x416.jpg?background=000000&cropX1=1399&cropX2=3806&cropY1=290&cropY2=2695
4296,Jim,Walton,14.0,46.4 BUSD,Fashion & Retail  ==> Walmart,70 years old,65,Male,United States,https://specials-images.forbesimg.com/imageserve/56d1b7cce4b0c144a7f6639f/416x416.jpg?background=000000&cropX1=110&cropX2=516&cropY1=35&cropY2=441
2162,S.,Walton,15.0,46.2 BUSD,Fashion & Retail  ==> Walmart,73 years old,66,M,None,https://specials-images.forbesimg.com/imageserve/59d50a9e4bbe6f37dd9ff712/416x416.jpg?background=000000&cropX1=207&cropX2=1915&cropY1=82&cropY2=1791
6785,Alice,Walton,16.0,46.0 BUSD,Fashion & Retail  ==> Walmart,68 years old,67,None,United States,https://specials-images.forbesimg.com/imageserve/59d50b364bbe6f37dd9ff759/416x416.jpg?background=000000&cropX1=97&cropX2=1126&cropY1=114&cropY2=1143
2208,Ma,Ma,17.0,45.3 BUSD,Technology  ==> internet media,46 years old,68,M,People's Republic of China,https://specials-images.forbesimg.com/imageserve/5a7cdf46a7ea431690130bf0/416x416.jpg?background=000000&cropX1=1094&cropX2=3921&cropY1=6&cropY2=2832
5236,Francoise,Bettencourt meyers,18.0,42.2 BUSD,Fashion & Retail  ==> L'Oreal,64 years old,69,F,None,https://specials-images.forbesimg.com/imageserve/5a7def7631358e4955ad0a53/416x416.jpg?background=000000&cropX1=192&cropX2=973&cropY1=69&cropY2=849
6852,Mukesh,Ambani,19.0,40.1 BUSD,"Energy  ==> petrochemicals, oil & gas",61 years old,70,M,None,https://specials-images.forbesimg.com/imageserve/5a7f3b7931358e4955ad1a39/416x416.jpg?background=000000&cropX1=5&cropX2=1013&cropY1=214&cropY2=1223
1622,Jack,Ma,20.0,39.0 BUSD,Technology  ==> e-commerce,53 years old,71,Male,None,https://specials-images.forbesimg.com/imageserve/5aa1598031358e79a28b5731/416x416.jpg?background=000000&cropX1=1454&cropX2=3297&cropY1=547&cropY2=2389
4512,Sheldon,Adelson,21.0,38.5 BUSD,Gambling & Casinos  ==> casinos,84 years old,72,Male,None,https://specials-images.forbesimg.com/imageserve/5a8d9420a7ea43169014027b/416x416.jpg?background=000000&cropX1=935&cropX2=3219&cropY1=79&cropY2=2362
1498,Steve,Ballmer,22.0,38.4 BUSD,Technology  ==> Microsoft,62 years old,73,M,None,https://specials-images.forbesimg.com/imageserve/59d50c47a7ea436b47b36d66/416x416.jpg?background=000000&cropX1=656&cropX2=2920&cropY1=354&cropY2=2617
6217,Li,Li,23.0,34.9 BUSD,Diversified  ==> diversified,90 years old,74,None,Hong Kong,https://specials-images.forbesimg.com/imageserve/5a7e6e914bbe6f2652f52a98/416x416.jpg?background=000000&cropX1=623&cropX2=3280&cropY1=6&cropY2=2661
7194,Hui,Hui,24.0,30.3 BUSD,Real Estate  ==> real estate,59 years old,75,Male,None,https://specials-images.forbesimg.com/imageserve/5aecc8f4a7ea436b547c4c52/416x416.jpg?background=000000&cropX1=372&cropX2=2640&cropY1=490&cropY2=2756
6945,Lee,Lee,25.0,30.3 BUSD,Real Estate  ==> real estate,90 years old,76,M,None,https://specials-images.forbesimg.com/imageserve/5a579beba7ea431690109b54/416x416.jpg?background=000000&cropX1=24&cropX2=1040&cropY1=66&cropY2=1082
4782,Wang,Wang,26.0,30.0 BUSD,Real Estate  ==> real estate,63 years old,77,Male,None,https://specials-images.forbesimg.com/imageserve/5a7cf67f4bbe6f2652f510d4/416x416.jpg?background=000000&cropX1=810&cropX2=4091&cropY1=0&cropY2=3280
1202,Beate,Albrecht jr.,27.0,29.8 BUSD,Fashion & Retail  ==> supermarkets,66 years old,78,,Germany,https://specials-images.forbesimg.com/imageserve/5a7e087531358e4955ad0cfe/416x416.jpg?background=000000&cropX1=19&cropX2=2172&cropY1=186&cropY2=2340
4178,Phil,Knight,28.0,29.6 BUSD,Fashion & Retail  ==> Nike,80 years old,79,M,United States,https://specials-images.forbesimg.com/imageserve/5a8d930431358e4955adf1bb/416x416.jpg?background=000000&cropX1=1463&cropX2=2400&cropY1=35&cropY2=972
8817,Jorge,Lemann,29.0,27.4 BUSD,Food and Beverage  ==> beer,78 years old,80,M,None,https://specials-images.forbesimg.com/imageserve/5a7b803c4bbe6f2652f4ef67/416x416.jpg?background=000000&cropX1=794&cropX2=3457&cropY1=6&cropY2=2667
6286,Francois,Pinault,30.0,27.0 BUSD,Fashion & Retail  ==> luxury goods,81 years old,81,Male,None,https://specials-images.forbesimg.com/imageserve/5a7def27a7ea431690131b94/416x416.jpg?background=000000&cropX1=12&cropX2=2668&cropY1=208&cropY2=2866
