id,lastName,age,Unnamed: 0_x,gender,country,image,Unnamed: 0_y,Source,worth,worthChange,realTimeWorth,realTimePosition,name,position,Unnamed: 0
5227,bEZOS,54 years old,52,None,United States,https://specials-images.forbesimg.com/imageserve/5a8d920d31358e4955adf197/416x416.jpg?background=000000&cropX1=755&cropX2=2357&cropY1=494&cropY2=2097,52,Technology  ==> Amazon,112.0 BUSD,0.0 millions USD,,1,jeff BEZos,1.0,52
2642,GATES,62 years old,53,M,None,https://specials-images.forbesimg.com/imageserve/5a942b7b31358e79a28a452b/416x416.jpg?background=000000&cropX1=285&cropX2=3498&cropY1=146&cropY2=3360,53,Technology  ==> Microsoft,90.0 BUSD,-0.001 millions USD,,2,bill GATES,2.0,53
5422,bufFETT,87 years old,54,M,None,https://specials-images.forbesimg.com/imageserve/5a8d9b3a31358e4955adf300/416x416.jpg?background=000000&cropX1=378&cropX2=2650&cropY1=52&cropY2=2322,54,Finance and Investments  ==> Berkshire Hathaway,84.0 BUSD,-0.002 millions USD,,3,warrEN BUFFEtt,3.0,54
8183,aRNAULt,69 years old,55,M,France,https://specials-images.forbesimg.com/imageserve/5a7de808a7ea431690131adf/416x416.jpg?background=000000&cropX1=125&cropX2=2852&cropY1=11&cropY2=2736,55,Fashion & Retail  ==> LVMH,72.0 BUSD,0.0 millions USD,,4,bernarD ARNAULT,4.0,55
5642,zuckeRBERG,1985,56,M,USA,https://specials-images.forbesimg.com/imageserve/59d5062131358e542c034eb7/416x416.jpg?background=000000&cropX1=419&cropX2=1409&cropY1=53&cropY2=1044,56,Technology  ==> Facebook,71.0 BUSD,0.0 millions USD,,5,mark zUCKERBerg,5.0,56
1690,ortEGa,82 years old,57,M,None,https://specials-images.forbesimg.com/imageserve/5a810ce6a7ea431690133fe6/416x416.jpg?background=000000&cropX1=250&cropX2=2266&cropY1=4&cropY2=2019,57,Fashion & Retail  ==> Zara,70.0 BUSD,0.0 millions USD,,6,amancio ORTEGa,6.0,57
2877,sLIM Helu,78 years old,58,None,Mexico,https://specials-images.forbesimg.com/imageserve/5a7fcad931358e4955ad21fc/416x416.jpg?background=000000&cropX1=247&cropX2=2010&cropY1=226&cropY2=1990,58,Telecom  ==> telecom,67.1 BUSD,0.001 millions USD,,7,carlos sLIM HELU,7.0,58
1939,koCH,82 years old,59,M,United States,https://specials-images.forbesimg.com/imageserve/5638b4b5e4b0ffa7afe69a7f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=53&cropY2=797,59,Diversified  ==> Koch Industries,60.0 BUSD,0.0 millions USD,,12,chARLES Koch,8.0,59
9011,kOCH,78 years old,60,Male,USA,https://specials-images.forbesimg.com/imageserve/5a8d901531358e4955adf139/416x416.jpg?background=000000&cropX1=0&cropX2=2400&cropY1=81&cropY2=2481,60,Diversified  ==> Koch Industries,60.0 BUSD,0.0 millions USD,,13,daVID KOCH,9.0,60
7523,elLISOn,73 years old,61,M,None,https://specials-images.forbesimg.com/imageserve/5a8d9263a7ea431690140251/416x416.jpg?background=000000&cropX1=0&cropX2=2000&cropY1=197&cropY2=2198,61,Technology  ==> software,58.5 BUSD,-0.001 millions USD,,8,larrY ELlison,10.0,61
8133,blOOMBERG,76 years old,62,Male,None,https://specials-images.forbesimg.com/imageserve/58c1d278a7ea431f321add1f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=40&cropY2=784,62,Media & Entertainment  ==> Bloomberg LP,50.0 BUSD,0.0 millions USD,,11,micHAEL BLOOMBERG,11.0,62
8447,pAGE,45 years old,63,None,None,https://specials-images.forbesimg.com/imageserve/59d5098d4bbe6f37dd9ff6bc/416x416.jpg?background=000000&cropX1=1176&cropX2=2904&cropY1=222&cropY2=1950,63,Technology  ==> Google,48.8 BUSD,0.0 millions USD,,9,larrY PAGE,12.0,63
5897,BRIN,44 years old,64,M,United States,https://specials-images.forbesimg.com/imageserve/5a8d93da31358e4955adf1c9/416x416.jpg?background=000000&cropX1=1399&cropX2=3806&cropY1=290&cropY2=2695,64,Technology  ==> Google,47.5 BUSD,0.0 millions USD,,10,sergEY BRIN,13.0,64
4296,walTON,70 years old,65,Male,United States,https://specials-images.forbesimg.com/imageserve/56d1b7cce4b0c144a7f6639f/416x416.jpg?background=000000&cropX1=110&cropX2=516&cropY1=35&cropY2=441,65,Fashion & Retail  ==> Walmart,46.4 BUSD,0.0 millions USD,,19,jIM WALTON,14.0,65
2162,waLTON,73 years old,66,M,None,https://specials-images.forbesimg.com/imageserve/59d50a9e4bbe6f37dd9ff712/416x416.jpg?background=000000&cropX1=207&cropX2=1915&cropY1=82&cropY2=1791,66,Fashion & Retail  ==> Walmart,46.2 BUSD,0.0 millions USD,,20,s. ROBSON WALTOn,15.0,66
6785,WALTON,68 years old,67,None,United States,https://specials-images.forbesimg.com/imageserve/59d50b364bbe6f37dd9ff759/416x416.jpg?background=000000&cropX1=97&cropX2=1126&cropY1=114&cropY2=1143,67,Fashion & Retail  ==> Walmart,46.0 BUSD,0.0 millions USD,,21,alICE WALton,16.0,67
2208,MA,46 years old,68,M,People's Republic of China,https://specials-images.forbesimg.com/imageserve/5a7cdf46a7ea431690130bf0/416x416.jpg?background=000000&cropX1=1094&cropX2=3921&cropY1=6&cropY2=2832,68,Technology  ==> internet media,45.3 BUSD,0.001 millions USD,,15,ma HUATeng,17.0,68
5236,bETTENCOURT MEYERS,64 years old,69,F,None,https://specials-images.forbesimg.com/imageserve/5a7def7631358e4955ad0a53/416x416.jpg?background=000000&cropX1=192&cropX2=973&cropY1=69&cropY2=849,69,Fashion & Retail  ==> L'Oreal,42.2 BUSD,0.0 millions USD,,14,franCOISE BETTENCOurt meyers,18.0,69
6852,amBANI,61 years old,70,M,None,https://specials-images.forbesimg.com/imageserve/5a7f3b7931358e4955ad1a39/416x416.jpg?background=000000&cropX1=5&cropX2=1013&cropY1=214&cropY2=1223,70,"Energy  ==> petrochemicals, oil & gas",40.1 BUSD,0.0 millions USD,,17,mukeSH AMbani,19.0,70
1622,MA,53 years old,71,Male,None,https://specials-images.forbesimg.com/imageserve/5aa1598031358e79a28b5731/416x416.jpg?background=000000&cropX1=1454&cropX2=3297&cropY1=547&cropY2=2389,71,Technology  ==> e-commerce,39.0 BUSD,0.0 millions USD,,18,jACK ma,20.0,71
4512,aDELSON,84 years old,72,Male,None,https://specials-images.forbesimg.com/imageserve/5a8d9420a7ea43169014027b/416x416.jpg?background=000000&cropX1=935&cropX2=3219&cropY1=79&cropY2=2362,72,Gambling & Casinos  ==> casinos,38.5 BUSD,0.0 millions USD,,16,sheldon ADELSOn,21.0,72
1498,baLLMER,62 years old,73,M,None,https://specials-images.forbesimg.com/imageserve/59d50c47a7ea436b47b36d66/416x416.jpg?background=000000&cropX1=656&cropX2=2920&cropY1=354&cropY2=2617,73,Technology  ==> Microsoft,38.4 BUSD,0.0 millions USD,,22,steve BALLMER,22.0,73
6217,lI,90 years old,74,None,Hong Kong,https://specials-images.forbesimg.com/imageserve/5a7e6e914bbe6f2652f52a98/416x416.jpg?background=000000&cropX1=623&cropX2=3280&cropY1=6&cropY2=2661,74,Diversified  ==> diversified,34.9 BUSD,0.001 millions USD,,24,li KA-SHING,23.0,74
7194,HUI,59 years old,75,Male,None,https://specials-images.forbesimg.com/imageserve/5aecc8f4a7ea436b547c4c52/416x416.jpg?background=000000&cropX1=372&cropX2=2640&cropY1=490&cropY2=2756,75,Real Estate  ==> real estate,30.3 BUSD,0.0 millions USD,,26,HUI KA Yan,24.0,75
6945,lEE,90 years old,76,M,None,https://specials-images.forbesimg.com/imageserve/5a579beba7ea431690109b54/416x416.jpg?background=000000&cropX1=24&cropX2=1040&cropY1=66&cropY2=1082,76,Real Estate  ==> real estate,30.3 BUSD,0.0 millions USD,,28,lee shAU Kee,25.0,76
4782,wANG,63 years old,77,Male,None,https://specials-images.forbesimg.com/imageserve/5a7cf67f4bbe6f2652f510d4/416x416.jpg?background=000000&cropX1=810&cropX2=4091&cropY1=0&cropY2=3280,77,Real Estate  ==> real estate,30.0 BUSD,0.0 millions USD,,27,wang JIANLin,26.0,77
1202,albRECHT JR.,66 years old,78,,Germany,https://specials-images.forbesimg.com/imageserve/5a7e087531358e4955ad0cfe/416x416.jpg?background=000000&cropX1=19&cropX2=2172&cropY1=186&cropY2=2340,78,Fashion & Retail  ==> supermarkets,29.8 BUSD,0.0 millions USD,,29,beate heister & KARL albrecht jr.,27.0,78
4178,kniGHT,80 years old,79,M,United States,https://specials-images.forbesimg.com/imageserve/5a8d930431358e4955adf1bb/416x416.jpg?background=000000&cropX1=1463&cropX2=2400&cropY1=35&cropY2=972,79,Fashion & Retail  ==> Nike,29.6 BUSD,0.0 millions USD,,25,phiL KNIGht,28.0,79
8817,leMANN,78 years old,80,M,None,https://specials-images.forbesimg.com/imageserve/5a7b803c4bbe6f2652f4ef67/416x416.jpg?background=000000&cropX1=794&cropX2=3457&cropY1=6&cropY2=2667,80,Food and Beverage  ==> beer,27.4 BUSD,-672.311 millions USD,,30,jORGE PAULO Lemann,29.0,80
6286,PINAULt,81 years old,81,Male,None,https://specials-images.forbesimg.com/imageserve/5a7def27a7ea431690131b94/416x416.jpg?background=000000&cropX1=12&cropX2=2668&cropY1=208&cropY2=2866,81,Fashion & Retail  ==> luxury goods,27.0 BUSD,0.0 millions USD,,23,fRANCOIS PINAULt,30.0,81
7453,SCHAEFFLER,53 years old,82,M,None,https://specials-images.forbesimg.com/imageserve/5a7e12b631358e4955ad0fb2/416x416.jpg?background=000000&cropX1=835&cropX2=3880&cropY1=0&cropY2=3042,82,Automotive  ==> auto parts,25.3 BUSD,0.0 millions USD,,40,georG SCHAEFFLer,31.0,82
1720,klATTEn,56 years old,83,None,None,https://specials-images.forbesimg.com/imageserve/5a7e45f64bbe6f2652f5295a/416x416.jpg?background=000000&cropX1=10&cropX2=1120&cropY1=126&cropY2=1236,83,"Automotive  ==> BMW, pharmaceuticals",25.0 BUSD,0.0 millions USD,,38,susanNE KLATTen,32.0,83
5066,thOMSOn,61 years old,84,None,Canada,https://specials-images.forbesimg.com/imageserve/5a7ba72aa7ea43169012f1b4/416x416.jpg?background=000000&cropX1=566&cropX2=3532&cropY1=6&cropY2=2972,84,Media & Entertainment  ==> media,25.0 BUSD,0.0 millions USD,,32,daVID THOmson,33.0,84
6374,maRS,78 years old,85,F,None,https://specials-images.forbesimg.com/imageserve/59d50d06a7ea436b47b36d84/416x416.jpg?background=000000&cropX1=154&cropX2=1649&cropY1=394&cropY2=1889,85,"Food and Beverage  ==> candy, pet food",23.6 BUSD,0.0 millions USD,,34,jaCQUELINE MARs,34.0,85
