Position,Worth,Name,Age,Source,Country,Gender_cat
1,112.0 BUSD,Jeff Bezos,54,Technology  ==> Amazon,United States,Not Available
2,90.0 BUSD,Bill Gates,62,Technology  ==> Microsoft,None,Male
3,84.0 BUSD,Warren Buffett,87,Finance and Investments  ==> Berkshire Hathaway,None,Male
4,72.0 BUSD,Bernard Arnault,69,Fashion & Retail  ==> LVMH,France,Male
5,71.0 BUSD,Mark Zuckerberg,33,Technology  ==> Facebook,United States,Male
6,70.0 BUSD,Amancio Ortega,82,Fashion & Retail  ==> Zara,None,Male
7,67.1 BUSD,Carlos Slim Helu,78,Telecom  ==> telecom,Mexico,Not Available
8,60.0 BUSD,Charles Koch,82,Diversified  ==> Koch Industries,United States,Male
9,60.0 BUSD,David Koch,78,Diversified  ==> Koch Industries,United States,Male
10,58.5 BUSD,Larry Ellison,73,Technology  ==> software,None,Male
11,50.0 BUSD,Michael Bloomberg,76,Media & Entertainment  ==> Bloomberg LP,None,Male
12,48.8 BUSD,Larry Page,45,Technology  ==> Google,None,Not Available
13,47.5 BUSD,Sergey Brin,44,Technology  ==> Google,United States,Male
14,46.4 BUSD,Jim Walton,70,Fashion & Retail  ==> Walmart,United States,Male
15,46.2 BUSD,S. Robson Walton,73,Fashion & Retail  ==> Walmart,None,Male
16,46.0 BUSD,Alice Walton,68,Fashion & Retail  ==> Walmart,United States,Not Available
17,45.3 BUSD,Ma Huateng,46,Technology  ==> internet media,China,Male
18,42.2 BUSD,Francoise Bettencourt Meyers,64,Fashion & Retail  ==> L'Oreal,None,Female
19,40.1 BUSD,Mukesh Ambani,61,"Energy  ==> petrochemicals, oil & gas",None,Male
20,39.0 BUSD,Jack Ma,53,Technology  ==> e-commerce,None,Male
21,38.5 BUSD,Sheldon Adelson,84,Gambling & Casinos  ==> casinos,None,Male
22,38.4 BUSD,Steve Ballmer,62,Technology  ==> Microsoft,None,Male
23,34.9 BUSD,Li Ka-Shing,90,Diversified  ==> diversified,Hong Kong,Not Available
24,30.3 BUSD,Hui Ka Yan,59,Real Estate  ==> real estate,None,Male
25,30.3 BUSD,Lee Shau Kee,90,Real Estate  ==> real estate,None,Male
26,30.0 BUSD,Wang Jianlin,63,Real Estate  ==> real estate,None,Male
27,29.8 BUSD,Beate Heister & Karl Albrecht Jr.,66,Fashion & Retail  ==> supermarkets,Germany,Female
28,29.6 BUSD,Phil Knight,80,Fashion & Retail  ==> Nike,United States,Male
29,27.4 BUSD,Jorge Paulo Lemann,78,Food and Beverage  ==> beer,None,Male
30,27.0 BUSD,Francois Pinault,81,Fashion & Retail  ==> luxury goods,None,Male
31,25.3 BUSD,Georg Schaeffler,53,Automotive  ==> auto parts,None,Male
32,25.0 BUSD,Susanne Klatten,56,"Automotive  ==> BMW, pharmaceuticals",None,Not Available
33,25.0 BUSD,David Thomson,61,Media & Entertainment  ==> media,Canada,Not Available
34,23.6 BUSD,Jacqueline Mars,78,"Food and Beverage  ==> candy, pet food",None,Female
35,23.6 BUSD,John Mars,82,"Food and Beverage  ==> candy, pet food",None,Male
36,23.5 BUSD,Joseph Safra,79,Finance and Investments  ==> banking,None,Male
37,23.0 BUSD,Giovanni Ferrero,53,"Food and Beverage  ==> Nutella, chocolates",None,Not Available
38,23.0 BUSD,Dietrich Mateschitz,74,Food and Beverage  ==> Red Bull,None,Male
39,22.7 BUSD,Michael Dell,53,Technology  ==> Dell computers,United States,Male
40,22.7 BUSD,Masayoshi Son,60,"Telecom  ==> internet, telecom",None,Male
41,22.6 BUSD,Serge Dassault,93,Diversified  ==> diversified,None,Not Available
42,22.0 BUSD,Stefan Quandt,52,Automotive  ==> BMW,Germany,Not Available
43,21.9 BUSD,Yang Huiyan,35,Real Estate  ==> real estate,China,Female
44,21.7 BUSD,Paul Allen,65,"Technology  ==> Microsoft, investments",None,Male
